transaction_id,wallet_id,user_id,category_id,amount,type,status,description,is_recurring,created_date,transaction_date
1,1,1,8,200.00,INCOME,COMPLETED,Lương tháng 9,false,2025-09-28,2025-09-28
2,2,2,10,50.50,EXPENSE,COMPLETED,Ăn sáng tại quán,false,2025-09-28,2025-09-28
3,3,3,14,51.50,EXPENSE,COMPLETED,Xăng dầu xe máy,false,2025-09-29,2025-09-29
4,4,4,17,52.50,EXPENSE,COMPLETED,Học phí lớp tiếng Anh,false,2025-09-30,2025-09-30
5,5,5,15,53.50,EXPENSE,COMPLETED,Bảo dưỡng xe định kỳ,false,2025-10-01,2025-10-01
6,6,6,13,54.50,EXPENSE,COMPLETED,Uống cà phê với bạn,false,2025-10-02,2025-10-02
7,7,7,19,55.50,EXPENSE,COMPLETED,Vé tập yoga,true,2025-10-03,2025-10-03
8,8,8,11,56.50,EXPENSE,COMPLETED,Ăn trưa công ty,false,2025-10-04,2025-10-04
9,9,9,20,57.50,EXPENSE,COMPLETED,Mua vé xem phim,false,2025-10-05,2025-10-05
10,10,10,12,58.50,EXPENSE,COMPLETED,Ăn tối gia đình,false,2025-10-06,2025-10-06
11,11,11,18,59.50,EXPENSE,COMPLETED,Mua sách tham khảo,false,2025-10-07,2025-10-07
12,12,12,16,60.50,EXPENSE,COMPLETED,Taxi đi làm,false,2025-10-08,2025-10-08
13,13,13,8,61.50,INCOME,COMPLETED,Thưởng hiệu suất,false,2025-10-09,2025-10-09
14,14,14,14,62.50,EXPENSE,COMPLETED,Thay dầu động cơ,false,2025-10-10,2025-10-10
15,15,15,13,63.50,EXPENSE,COMPLETED,Cà phê sáng,false,2025-10-11,2025-10-11
16,16,16,11,64.50,EXPENSE,COMPLETED,Cơm trưa đặc biệt,false,2025-10-12,2025-10-12
17,17,17,19,65.50,EXPENSE,COMPLETED,Lớp yoga hàng tuần,true,2025-10-13,2025-10-13
18,18,18,20,66.50,EXPENSE,COMPLETED,Mua vé sắp tới,false,2025-10-14,2025-10-14
19,19,19,17,67.50,EXPENSE,COMPLETED,Học bổ sung tiếng Nhật,false,2025-10-15,2025-10-15
20,20,20,15,68.50,EXPENSE,COMPLETED,Kiểm tra định kỳ xe,false,2025-10-16,2025-10-16
